Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Patrick Mahomes,QB,KC/12,8.28,1.55,1,1,3|02,30.2,-0.714285714,0.86,QB:18
Josh Allen,QB,BUF/7,7.07,1.27,2,1,3|14,42.1,-0.642857143,0.73,RB:55
Kyler Murray,QB,ARI/12,6.31,1.75,3,2,4|11,53.1,-0.785714286,0.62,WR:65
Lamar Jackson,QB,BAL/8,6.05,1.3,4,2,4|14,56.9,-0.857142857,0.52,TE:23
Russell Wilson,QB,SEA/9,5.04,1.17,5,2,5|13,69.4,-0.428571429,0.43,
Dak Prescott,QB,DAL/7,4.68,1.38,6,2,5|07,63.4,-0.428571429,0.35,
Aaron Rodgers,QB,GB/13,4.68,1.43,7,2,6|02,72.6,-0.571428571,0.27,
Tom Brady,QB,TB/9,4.5,1.6,8,3,7|04,88.3,-1.214285714,0.19,
Justin Herbert,QB,LAC/7,3.2,3.44,9,3,6|06,76.3,-0.928571429,0.14,
Ryan Tannehill,QB,TEN/13,2.3,1.33,10,4,7|05,89.5,0.928571429,0.1,
Jalen Hurts,QB,PHI/14,1.91,1.25,11,4,7|09,93.4,-0.071428571,0.06,
Joe Burrow,QB,CIN/10,1.2,1.28,12,4,8|10,108.2,-0.214285714,0.04,
Matthew Stafford,QB,LAR/11,1.04,1.05,13,4,7|13,97,-0.285714286,0.03,
Matt Ryan,QB,ATL/6,0.78,1.14,14,4,9|11,123.2,0.785714286,0.01,
Kirk Cousins,QB,MIN/7,0.58,1.3,15,5,9|14,126.8,1.428571429,0,
Baker Mayfield,QB,CLE/13,0.08,1.03,16,5,11|04,144.9,-0.428571429,0,
Derek Carr,QB,LV/8,0.03,1.06,17,5,12|12,166.8,2.714285714,0,
Trevor Lawrence,QB,JAX/7,-0.13,1.12,18,5,9|11,123.1,0.142857143,0,
Tua Tagovailoa,QB,MIA/14,-0.39,2.38,19,5,10|14,140.3,2.071428571,0,
Ben Roethlisberger,QB,PIT/7,-0.61,1.4,20,5,11|11,151.5,0.642857143,0,
Daniel Jones,QB,NYG/10,-1.06,1.62,21,5,13|06,174.2,3.5,0,
Ryan Fitzpatrick,QB,WAS/9,-1.32,1.98,22,6,11|10,150.7,2.642857143,0,
Carson Wentz,QB,IND/14,-1.36,2.1,23,6,13|12,180.9,3.071428571,0,
Jameis Winston,QB,NO/6,-2.07,2.17,24,6,13|04,172.9,0.214285714,0,
Sam Darnold,QB,CAR/13,-2.13,1.63,25,6,14|02,184.3,3.214285714,0,
Zach Wilson,QB,NYJ/6,-2.19,1.65,26,6,14|03,185.5,0.214285714,0,
Jared Goff,QB,DET/9,-2.33,1.86,27,6,16|11,221.6,1.357142857,0,
Mac Jones,QB,NE/14,-2.78,1.9,28,6,17|08,232.9,-7.285714286,0,
Teddy Bridgewater,QB,DEN/11,-3.9,3.17,29,7,17|11,235.1,-0.5,0,
Justin Fields,QB,CHI/10,-4.1,4.9,30,7,12|05,159.7,-1.071428571,0,
Trey Lance,QB,SF/6,-4.47,5.25,31,7,13|02,170.6,-1.928571429,0,
Deshaun Watson,QB,HOU/10,-6.03,6.43,32,8,20|09,275.7,-8.928571429,0,
Tyrod Taylor,QB,HOU/10,-6.45,4.26,33,8,20|06,272.1,1,0,
Andy Dalton,QB,CHI/10,-10.56,5.46,34,10,23|04,312,3,0,
Christian McCaffrey,RB,CAR/13,16.37,1.95,1,1,1|01,1.1,0,0.95,
Dalvin Cook,RB,MIN/7,14.32,1.67,2,1,1|02,2.2,0,0.9,
Alvin Kamara,RB,NO/6,13.19,1.81,3,2,1|03,3.7,0.071428571,0.86,
Derrick Henry,RB,TEN/13,13.04,1.88,4,2,1|04,4.4,-0.071428571,0.81,
Ezekiel Elliott,RB,DAL/7,11.08,1.61,5,3,1|06,6.2,0,0.78,
Aaron Jones,RB,GB/13,10.82,1.17,6,3,1|07,7.6,0.071428571,0.74,
Saquon Barkley,RB,NYG/10,10.78,1.45,7,3,1|10,10.5,0,0.71,
Jonathan Taylor,RB,IND/14,10.34,1.75,8,3,1|12,12.1,-0.142857143,0.67,
Nick Chubb,RB,CLE/13,10.22,1.18,9,3,1|12,12,-0.285714286,0.64,
Austin Ekeler,RB,LAC/7,10.08,1.58,10,4,1|12,12.3,0,0.61,
Joe Mixon,RB,CIN/10,9.85,1.48,11,4,2|07,21.1,-0.071428571,0.57,
